question,answer,baseline,L6-P4,L6-P6,L8-P4,L8-P6,L10-P4,L10-P6,L12-P4,L14-P4,L16-P4,L18-P4,L20-P4,L22-P4,L24-P4,L26-P4,L28-P4,L30-P4
What is Rio de Janeiro the capital of?,"['State of Brazil', 'Brazil', 'Federative Republic of Brazil', 'BR', 'BRA', 'br', '🇧🇷', 'Rio de Janeiro', 'Rio de Janeiro state', 'RJ', 'Rio de Janeiro (state)']","Rio de Janeiro is the capital of the state of Rio de Janeiro, Brazil.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
In what country is Old English?,"['England', 'Scotland', 'Alba', 'Scotland, United Kingdom', 'SCT', 'Caledonia', 'Scot', 'Wales', 'WAL', 'WLS', 'Cymru', 'Cambria']","Old English is the earliest form of the English language, and it was spoken in England from the 5th to the 11th centuries.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of Green Lantern?,"['Greg Berlanti', 'Gregory Berlanti', 'Berlanti Productions']","The producer of the 2011 film ""Green Lantern"" was Greg Berlanti.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Lesotho?,['Maseru'],The capital of Lesotho is Maseru.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Newfoundland and Labrador?,"[""St. John's"", ""St John's, Newfoundland"", 'St Johns, Newfoundland', ""St. John's, Newfoundland and Labrador"", ""Saint John's"", 'St. Johns', 'St Johns', 'Saint Johns']",The capital of Newfoundland and Labrador is St. John's.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Charles Lindbergh?,"['Charles August Lindbergh', 'Charles A. Lindbergh']",The father of Charles Lindbergh is Charles August Lindbergh.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of True Blood?,['Nathan Barr'],"The composer of the True Blood TV series was Nathan Barr. He created the show's distinctive score, which blended elements of folk, rock, and electronic music.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What color is Nottingham Forest F.C.?,"['red', 'red color']",Nottingham Forest F.C. is a red and white team.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Spanish Empire?,"['Madrid', 'City of Madrid', 'Madrid, Spain']",The capital of the Spanish Empire was Madrid.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Commonwealth of Independent States?,"['Minsk', 'Мінск', 'Менск', 'Минск', 'Mińsk', 'Minskas', 'Mensk', 'Miensk']","The capital of the Commonwealth of Independent States (CIS) is Minsk, Belarus.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Honduras?,['Tegucigalpa'],The capital of Honduras is Tegucigalpa.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Guinea?,['Conakry'],The capital of Guinea is Conakry.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is Battlefield?,"['first-person shooter', 'fps', 'first person shooter video games', 'first-person shooter video game', 'FPS', 'FPS game', 'FPS video game', 'first-person shooter game']",The Battlefield series is a first-person shooter (FPS) genre.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Up?,"['Pete Docter', 'Peter Docter', 'Peter Hans Docter', 'Bob Peterson', 'Robert Peterson']","The screenwriter for the Pixar film Up is Pete Docter, along with Bob Peterson and Thomas McCarthy.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of Up?,"['Michael Giacchino', 'Michael George Giacchino']","The composer of the score for the Pixar film ""Up"" is Michael Giacchino.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Trace Cyrus?,"['Billy Ray Cyrus', 'William Ray Cyrus']",The father of Trace Cyrus is Billy Ray Cyrus.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the religion of William III of England?,"['Protestantism', 'Protestant religion', 'Protestant Church', 'Christian Protestantism', 'Protestant churches', 'Protestant Christianity', 'Protestant', 'Protestants']",William III of England was a Protestant. He was a member of the Dutch Reformed Church and was influenced by the Calvinist theology of the Dutch Reformed Church.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of The Birds?,"['Alfred Hitchcock', 'Alfred Joseph Hitchcock', 'Sir Alfred Hitchcock']","The producer of the 1963 film ""The Birds"" was Alfred Hitchcock himself, in addition to Sidney Bernstein.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of The Birds?,"['Alfred Hitchcock', 'Alfred Joseph Hitchcock', 'Sir Alfred Hitchcock']","The director of the 1963 film ""The Birds"" was Alfred Hitchcock.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for The Birds?,"['Daphne du Maurier', 'Dame Daphne du Maurier', 'Ed McBain', 'Salvatore Albert Lombino', 'Evan Hunter', 'Hunt Collins', 'Curt Cannon', 'Dean Hudson', 'Richard Marsten', 'Ezra Hannon', 'John Abbott', 'Salvatore Lombino']","The screenwriter for the 1963 film ""The Birds"" was Evan Hunter.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of The Graduate?,['Lawrence Turman'],"Lawrence Turman was the producer of the 1967 film ""The Graduate"".",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for The Graduate?,"['Charles Webb', 'Charles Richard Webb', 'Calder Willingham', 'Buck Henry', 'Buck Henry Zuckerman', 'Henry Zuckerman']","The screenwriter for The Graduate (1967) was Calder Willingham, with additional dialogue by Buck Henry.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Elizabeth Cheney?,"['Dick Cheney', 'Richard Bruce Cheney', 'Richard Cheney', 'Richard Bruce ""Dick"" Cheney']","The father of Elizabeth Cheney is Richard Cheney, the 46th Vice President of the United States.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Cayman Islands?,"['George Town', 'George Town, Cayman Islands', 'Georgetown']",The capital of the Cayman Islands is George Town.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Djibouti?,"['Djibouti', 'Djibouti City', 'Djibouti (city)']",The capital of Djibouti is Djibouti City.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Samoa?,['Apia'],The capital of Samoa is Apia.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Anil Kapoor?,['Surinder Kapoor'],The father of Anil Kapoor is Surinder Kapoor.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Brigitte Bardot's occupation?,"['actor', 'actress', 'actors', 'actresses', 'model', 'fashion model', 'sitter', 'poser']","Brigitte Bardot is a French actress, model, and animal rights activist.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Florence the capital of?,"['Tuscany', 'Toscana', 'Republic of Florence', 'Repubblica Fiorentina', 'Florentine Republic', 'Repubblica di Firenze', 'Province of Florence', 'Florence', 'Florence province', 'Firenze province', 'provincia di Firenze', 'Firenze', 'Kingdom of Italy', 'Regno d’Italia', 'Italy', 'IT']",Florence is the capital of Italy's Tuscany region.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is Nine Inch Nails?,"['alternative rock', 'alternative music', 'alt-rock', 'alternative', 'alt rock', 'pop/rock', 'Alternative Rock', 'ambient music', 'ambient', 'Ambient', 'industrial metal', 'Industrial Metal', 'industrial music', 'industrial', 'industrial rock']",Nine Inch Nails is a Industrial Rock band.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the religion of Jesus in Islam?,"['Islam', 'Islamic religion', 'Mohammedanism', 'Muslim religion', 'al-’islām', 'religion of the Muslims']","In Islam, Jesus (known as Isa in Arabic) is considered a prophet and a messenger of God, just like other prophets in Islam, such as Abraham, Moses, and Muhammad.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
In what country is Charlotte Hornets?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]","The Charlotte Hornets are a professional basketball team based in Charlotte, North Carolina, United States.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is The Karate Kid?,"['martial arts film', 'action film', 'action movie', 'film action', 'movie action', 'action']",The Karate Kid is an action-drama film.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Central African Republic?,['Bangui'],The capital of the Central African Republic is Bangui.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Tasmania?,"['Hobart', 'Hobart Town', 'Hobarton', 'Hobart, Tasmania', 'Hobart, Tas.']",The capital of Tasmania is Hobart.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the author of Stack Overflow?,"['Joel Spolsky', 'Avram Joel Spolsky']",Stack Overflow was founded by Jeff Atwood and Joel Spolsky in 2008.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Ronan Farrow?,"['Woody Allen', 'Allan Stewart Konigsberg', 'Allen Stewart Konigsberg', 'Heywood Allen']",Ronan Farrow's father is Woody Allen.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the mother of Ronan Farrow?,"['Mia Farrow', 'Maria de Lourdes Villiers-Farrow']",The mother of Ronan Farrow is Mia Farrow.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Jacob?,"['Isaac', 'Yitzchak', 'Yitzhak', 'Yizhak', 'Yitzchaq', 'Yizhaq', 'Yitskhak', 'Yitzchok', 'Isaac the Armenian', 'Isak']",The father of Jacob is Isaac.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Brussels Capital Region?,"['City of Brussels', 'Brussels City', 'Brussels, Belgium', 'Bruxelles', 'Brussel', 'Stad Brussel', 'Ville de Bruxelles', '02', 'BXL', 'Bru', 'Brussels']",The capital of the Brussels-Capital Region is Brussels itself!,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the author of New Testament?,"['Luke the Evangelist', 'Saint Luke', 'Luke', 'Lukas', 'Lucanus', 'Peter', 'Saint Peter', 'Simon Peter', 'Shimon', 'Simeon', 'Simon', 'Petrus', 'Peter the Apostle', 'Pope Peter', 'Saint Peter the Apostle', 'Matthew the Apostle', 'Saint Matthew', 'Matthew', 'Matthew the Evangelist', 'James, son of Alphaeus', 'James the Less', 'James the Lesser', 'Paul', 'Paul the Apostle', 'Paul of Tarsus', 'Saint Paul', 'St. Paul', 'St Paul', 'Saul', 'Saul of Tarsus', 'The Apostle Paul', 'Paulus', 'Saint Paulus', 'Paulus von Tarsus', 'of Tarsus, the Apostle, Saint Paul', 'the Apostle, Saint Paul', 'Saint Paul the Apostle', 'Apostle Paul']","The authors of the New Testament books are not known with certainty. The New Testament was written by multiple authors over a period of several decades.

The authors of the New Testament books are generally identified as follows:

* The four Gospels (Matthew, Mark, Luke, and John) were written by four different authors.
* The Acts of the Apostles was written by Luke.
* The Epistles (letters) of Paul were written by Paul himself.
* The Epistles of Peter",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of T. S. Eliot?,['Henry Ware Eliot'],The father of T.S. Eliot is Henry Ware Eliot.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is The Mist?,"['monster film', 'monster movie', 'creature feature', 'giant monster film', 'Monster horror films', 'horror film', 'horror movie']","The Mist is a horror film, specifically a supernatural horror film.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Who is the father of Mary, Princess Royal and Countess of Harewood?","['George V', 'George Frederick Ernest Albert', 'George Windsor', 'George Frederick Ernest Albert Windsor', 'George Saxe-Coburg-Gotha', 'George Frederick Ernest Albert Saxe-Coburg-Gotha', 'King George V', 'King of Great Britain George V', 'V, King of Great Britain George', 'George V of the United Kingdom']","The father of Mary, Princess Royal and Countess of Harewood, is King George V of the United Kingdom.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Crete?,"['Heraklion', 'Heraclion', 'Iraklion', 'Irakleion']",The capital of Crete is Heraklion (also known as Iraklio).,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Turin the capital of?,"['Piedmont', 'Province of Turin', 'Provincia di Torino', 'Turin province', 'Torino province', 'Turin', 'provincia di Torino', 'Kingdom of Sardinia', 'Piedmont-Sardinia', 'Kingdom of Sardinia-Piedmont', 'Kingdom of Sardinia (1720-1861)', 'Kingdom of Piedmont-Sardinia', 'Kingdom of Italy', 'Regno d’Italia', 'Italy', 'IT']",Turin is the capital of the Italian region of Piedmont.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of Argo?,"['George Clooney', 'George Timothy Clooney', 'Ben Affleck', 'Benjami Géza Affleck', 'Benjamin Géza Affleck-Boldt', 'Benjami Geza Affleck', 'Benjamin Geza Affleck-Boldt', 'Grant Heslov']",The producer of the 2012 film Argo was Grant Heslov.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of The Imitation Game?,"['Teddy Schwarzman', 'Edward Frank Schwarzman', 'Edward Schwarzman', 'Nora Grossman', 'Ido Ostrowsky']",The producer of The Imitation Game was Ido Ostrowsky.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Hera?,"['Cronus', 'Kronos']","According to Greek mythology, the father of Hera is Cronus, the Titan king.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Saint Lucia?,['Castries'],The capital of Saint Lucia is Castries.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is Chris Jericho?,"['rock music', 'rock and roll', 'rock', 'Rock']","Chris Jericho is a professional wrestler, but he is also a musician, and his music genre is Hard Rock/Heavy Metal.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What sport does Jason Kidd play?,"['basketball', 'hoops', 'b-ball', 'basket ball', 'BB', 'Basketball']",Jason Kidd is a former professional basketball player who played in the National Basketball Association (NBA).,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of American Samoa?,['Pago Pago'],The capital of American Samoa is Pago Pago.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Anubis?,['Osiris'],"In Egyptian mythology, Anubis is the son of Osiris and Nephthys.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Turks and Caicos Islands?,['Cockburn Town'],The capital of Turks and Caicos Islands is Cockburn Town.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is Inside Out?,"['adventure film', 'adventure movie', 'adventure', 'comedy-drama', 'dramedy', 'comedic drama', 'tragicomedy', 'seriocomedy', 'comedy drama', 'dramatic comedy', 'Comedy-drama, dramedy']",Inside Out is an animated comedy-drama film.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of Inside Out?,"['Jonas Rivera', 'Jonas Hale Rivera']",The producer of Inside Out (2015) was Jonas Rivera.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Inside Out?,"['Pete Docter', 'Peter Docter', 'Peter Hans Docter', 'Ronnie del Carmen', 'Ronaldo del Carmen', 'Ronaldo Del Carmen']",The director of Inside Out (2015) was Pete Docter.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Inside Out?,"['Bill Hader', 'William Thomas Hader Jr.', 'Amy Poehler', 'Amy Meredith Poehler', 'Pete Docter', 'Peter Docter', 'Peter Hans Docter', 'Ronnie del Carmen', 'Ronaldo del Carmen', 'Ronaldo Del Carmen']","The screenwriter for Inside Out (2015) was Pete Docter, along with Meg LeFauve and Josh Cooley.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of Inside Out?,"['Michael Giacchino', 'Michael George Giacchino']","The composer of the music for the Disney-Pixar film ""Inside Out"" is Michael Giacchino.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Vajiralongkorn?,"['Bhumibol Adulyadej', 'Rama IX', 'King Bhumibol', 'King Rama 9', 'Rama 9 of Thailand', 'King Bhumibol Adulyadej', 'Bhumibol the Great']",The father of King Vajiralongkorn of Thailand is King Bhumibol Adulyadej.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the mother of Vajiralongkorn?,"['Sirikit', 'Sirikit Kitiyakara']",The mother of King Vajiralongkorn of Thailand is Queen Sirikit.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Kuala Lumpur the capital of?,"['Federated Malay States', 'Malaya', 'Federation of Malaya', 'Japanese occupation of Malaya', 'Malaysia', 'my', 'Federation of Malaysia', 'Malaysia Federation', 'MAS', 'MYS', '🇲🇾']",Kuala Lumpur is the capital of Malaysia.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Brian Eno's occupation?,"['record producer', 'music producer', 'composer']","Brian Eno is a musician, composer, producer, and visual artist. He is known for his work in electronic music, ambient music, and experimental music.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Equatorial Guinea?,"['Malabo', 'Port Clarence', 'Santa Isabel']",The capital of Equatorial Guinea is Malabo.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Nauru?,"['Yaren District', 'Moqua', 'Makwa', 'Yaren']",The capital of Nauru is Yaren.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of Cloud Atlas?,"['Tom Tykwer', 'Reinhold Heil', 'Reinhold E. Heil']","The composer of the Cloud Atlas soundtrack is Tom Tykwer, along with Johnny Klimek and Reinhold Heil.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Talia Balsam?,"['Martin Balsam', 'Martin Henry Balsam']",The father of Talia Balsam is Martin Balsam.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Odysseus?,['Laertes'],The father of Odysseus is Laertes.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Blade?,['Stephen Norrington'],The director of the 1998 film Blade was Stephen Norrington.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Benazir Bhutto's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']","Benazir Bhutto was a Pakistani politician who served as the Prime Minister of Pakistan from 1988 to 1990, and again from 1993 to 1996.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Benazir Bhutto?,"['Zulfiqar Ali Bhutto', 'Zulfikar Ali Bhutto', 'Shaheed Zulfiqar Ali Bhutto']",The father of Benazir Bhutto is Zulfikar Ali Bhutto.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Iron Man 3?,"['Drew Pearce', 'Warren Ellis', 'Warren Girard Ellis', 'Shane Black']","The screenwriter for Iron Man 3 was Drew Pearce, with Shane Black receiving a story credit.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is The Little Prince?,['novella'],"The Little Prince is a novella that belongs to the genres of science fiction, fantasy, and children's literature.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the author of The Little Prince?,"['Antoine de Saint-Exupéry', 'Antoine de Saint-Exupery', 'Antoine de St. Exupery', 'Saint-Exupery', 'Saint-Exupéry']",The author of The Little Prince is Antoine de Saint-Exupéry.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of Clue?,"['Debra Hill', 'John Landis']",The producer of the 1985 film Clue was Debra Hill.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Clue?,"['John Landis', 'Jonathan Lynn', 'Jonathan Lynn']",The screenwriter for the 1985 film Clue was Jonathan Lynn.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Great Britain?,"['London', 'London, UK', 'London, United Kingdom', 'London, England', 'Modern Babylon']",The capital of Great Britain is London.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Han dynasty?,"['Luoyang', 'Loyang', 'Jingluo', 'Luoyi', 'Shendu', 'Xijing', 'Xuchang', ""Chang'an"", 'Changan', 'Chang An']",The capital of the Han dynasty was Chang'an (modern-day Xi'an).,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Labyrinth?,"['Terry Jones', 'Terence Graham Parry Jones', 'Jim Henson', 'James Maury Henson']","The screenwriter for the 1986 film Labyrinth was Terry Jones, along with Dennis Lee, who wrote the poem ""The Land of Dreams"" that inspired the film.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Kids?,"['Harmony Korine', 'Larry Clark', 'Lawrence Donald Clark', 'Larry Clarke', 'Larry Lewis Legrand Clark', 'Larry James Clark']","The screenwriter for the 1995 film ""Kids"" was Harmony Korine.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is Steps?,"['pop music', 'pop', 'Pop']","Steps is a British pop group, specifically a boyband, that was formed in the late 1990s.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Horus?,['Osiris'],"In Egyptian mythology, the father of Horus is Osiris.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the mother of Horus?,['Isis'],"In Egyptian mythology, the mother of Horus is Isis.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of Her?,"['Spike Jonze', 'Adam Spiegel']","The producers of the 2013 film ""Her"" were Megan Ellison, Spike Jonze, and Vincent Landay.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Her?,"['Spike Jonze', 'Adam Spiegel']","Spike Jonze directed the 2013 film ""Her"".",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Her?,"['Spike Jonze', 'Adam Spiegel']","The screenwriter for the 2013 film ""Her"" was Spike Jonze.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Kingdom of Italy?,"['Florence', 'Firenze', 'Florence, Italy', 'Florence, Tuscany', 'Florencia', 'Florentia', 'Florenz', 'Firenca', 'Florencie', 'Fiuränza', 'Florentzia', 'Firense', 'Firenz', 'Firenzi', 'Rome', 'The Eternal City', 'Roma', 'Rome Italy', 'Turin', 'Torino', 'Turin, Italy']","The Kingdom of Italy was a short-lived state that existed from 1861 to 1946. During its existence, the capital of the Kingdom of Italy was Florence (Italian: Firenze) from 1865 to 1871, and then Rome (Italian: Roma) from 1871 to 1946.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of Unbreakable?,"['James Newton Howard', 'Jim Howard']","The composer of the score for the 2000 film ""Unbreakable"" was James Newton Howard.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Chris Penn?,"['Leo Penn', 'Leonard Francis Penn']","The father of Chris Penn is Leo Penn, an American actor and director.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the religion of Kingdom of England?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']","The Kingdom of England was historically a Christian country, with the Church of England being the official state church from the 16th century until the 20th century.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Kingdom of England?,"['Winchester', 'Winchester, Hampshire', 'Westminster', 'City of Westminster', 'City of London', 'the City', 'Square Mile', 'City and County of the City of London', 'City of London (unparished area)', 'London', 'London, UK', 'London, United Kingdom', 'London, England', 'Modern Babylon']",The capital of the Kingdom of England is London.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Ho Chi Minh City the capital of?,"['State of Vietnam', 'Associated State of Vietnam', 'State of Vietnam', 'State of Viet-Nam', 'Independent State of Viet Nam', 'Vietnam', 'Việt Nam', 'South Vietnam', 'Republic of Vietnam', 'Cochinchina', 'Cochin-China']","Ho Chi Minh City is the largest city in Vietnam, but it is not the capital. The capital of Vietnam is Hanoi.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Malawi?,['Lilongwe'],The capital of Malawi is Lilongwe.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of The O.C.?,['Christopher Tyng'],"The composer of the music for the TV show ""The O.C."" was Christopher Tyng.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of Crash?,"['Don Cheadle', 'Paul Haggis', 'Paul Edward Haggis']","The producer of the 1996 film ""Crash"" was Don Cheadle.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
