question,answer,baseline,index
Who is the mother of Maria Alekseyevna of Russia?,"[""Maria Miloslavskaya""]","The mother of Maria Alekseyevna of Russia is Elizabeth Alexeievna of Russia, who was the daughter of Frederick I of Prussia.",11400
Who was the director of The Heroes?,"[""Wu Ma"", ""Ng Ma""]","I think you meant ""The Hero"" (not ""The Heroes""). If that's correct, the director of the 2002 film ""The Hero"" is Stephen Frears.",11425
Who was the composer of All I Can Do?,"[""Dolly Parton"", ""Dolly Rebecca Parton""]","The composer of ""All I Can Do"" is Barry Mann and Cynthia Weil.",11450
In what city was Petru Stoianov born?,"[""Vinga""]","Petru Stoianov, the Romanian actor, was born in Bucharest, Romania.",11475
Who was the director of The Canadian?,"[""William Beaudine"", ""William Washington Beaudine""]","There is no film titled ""The Canadian"". It's possible that you may be thinking of a different title or a documentary about Canada. If you could provide more information or clarify your question, I'd be happy to try and assist you further.",11500
What sport does Mike Edwards play?,"[""association football"", ""football"", ""soccer""]",Mike Edwards is a professional American football player who plays as a defensive tackle for the Detroit Lions of the National Football League (NFL).,11525
What sport does Christian Lee play?,"[""association football"", ""football"", ""soccer""]",Christian Lee is a professional mixed martial artist who competes in the lightweight division of ONE Championship.,11550
Who was the director of Say It Again?,"[""Gregory La Cava"", ""George Gregory LaCava"", ""George Lacava"", ""Gregory Lacava""]","I'm not familiar with a movie called ""Say It Again."" Could you be thinking of a different title, or perhaps a TV episode or scene? If you have any more information or clarification, I'd be happy to try and help you further!",11575
What genre is Junction?,"[""puzzle video game"", ""puzzle game"", ""Puzzle video games"", ""puzzle/jigsaw video game""]",Junction is a psychological thriller novel by Thurston Clarke.,11600
Who was the director of The White Suit?,"[""Lazar Ristovski""]","The director of the 1961 film ""The White Suit"" was Terence Rattigan.",11625
Who was the producer of Reporter?,"[""Ben Affleck"", ""Benjami Géza Affleck"", ""Benjamin Géza Affleck-Boldt"", ""Benjami Geza Affleck"", ""Benjamin Geza Affleck-Boldt""]","The producer of the 2015 Indian Telugu-language action comedy film ""Reporter"" is Nallamalupu Bujji.",11650
Who was the director of The City?,"[""Roy William Neill"", ""Roy Neill""]",The City is a 2008 American drama film directed by Bradley Rust Gray.,11675
In what city was Edu Nandlal born?,"[""Paramaribo""]","Edu Nandlal, the Indian cricketer, was born in Kolkata, West Bengal, India.",11700
Who was the composer of New Year?,"[""Michael Tippett"", ""Sir Michael Kemp Tippett""]","The composer of the song ""Auld Lang Syne"" (commonly referred to as ""New Year"") is Robert Burns, a Scottish poet.",11725
What genre is Thomas Morris?,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz"", ""Jazz""]","Thomas Morris is a Welsh author, and his writing is often classified under the genre of literary fiction.",11750
Who was the director of Two?,"[""Werner Schroeter""]","I think there may be a misunderstanding! There is no movie titled ""Two"" that I'm aware of. Could you please provide more context or clarify which movie you're referring to? I'd be happy to help!",11775
Who is the author of Opening Night?,"[""Ngaio Marsh"", ""Edith Ngaio Marsh"", ""Dame Edith Ngaio Marsh""]","The author of ""Opening Night"" is Larry Kramer.",11800
Who was the director of Hotel Splendide?,"[""Michael Powell"", ""Michael Latham Powell"", ""Powell""]",The director of Hotel Splendide (2000) was Wes Anderson.,11825
Who was the composer of Magic of Love?,"[""Yasutaka Nakata""]","The composer of ""Magic of Love"" is Giorgio Moroder.",11850
Who is the author of Simon?,"[""Rosemary Sutcliff""]","The author of ""Simon"" is Paul Auster.",11875
Who was the director of Andrea?,"[""Carlos Rinaldi""]","I think you meant ""Andrea"" as in the 1987 film ""Andrea"" starring Christina Ricci. If that's correct, the director of the film ""Andrea"" is Bob Fosse.",11900
Who is the author of Next?,"[""Terrence McNally""]","Michael Crichton is the author of the novel ""Next"".",11925
Who is the author of Now and Then?,"[""Joseph Heller""]","The author of ""Now and Then"" is Ann Napolitano.",11950
Who is the father of Ptolemy II of Telmessos?,"[""Lysimachus""]","Ptolemy II of Telmessos was the son of Ptolemy I Soter, a Macedonian general and one of Alexander the Great's closest companions.",11975
Who was the director of The Answer?,"[""Walter West"", ""Walter Alabaster West""]","I think there may be a mistake! There is no movie titled ""The Answer"". Could you be thinking of a different title? If you provide more information, I'd be happy to try and help you further!",12000
What sport does Mark Jonas play?,"[""association football"", ""football"", ""soccer""]","Mark Jonas is a professional triathlete, which means he competes in triathlons, a sport that involves swimming, biking, and running.",12025
In what country is Nalbandyan?,"[""Armenia"", ""Republic of Armenia"", ""🇦🇲"", ""ARM"", ""AM""]",Nalbandyan is a village in Armenia.,12050
Who was the director of Reducing?,"[""Charles Reisner""]","I think you meant to ask about the movie ""Red Dragon"", not ""Reducing"". If that's correct, the director of ""Red Dragon"" is Brett Ratner.",12075
Who is the author of Nevada?,"[""Steve Gerber"", ""Stephen Ross Gerber""]","The author of the novel ""Nevada"" is Imre Kertész.",12100
In what city was John Johnson born?,"[""LaGrange"", ""LaGrange, Georgia"", ""La Grange""]","John Johnson, also known as Pocahontas, was born in Werowocomoco, which is now part of Gloucester County, Virginia.",12125
Who was the producer of The Rat?,"[""Herbert Wilcox"", ""Herbert Sydney Wilcox""]",The Rat is a 1966 British comedy film. The producer of The Rat was Peter Rogers.,12150
Who is the author of Merry Tales?,"[""Mark Twain"", ""Samuel Langhorne Clemens"", ""Samuel L. Clemens"", ""Samuel Clemens""]","The author of ""Merry Tales"" is Mark Twain (the pen name of Samuel Langhorne Clemens).",12175
What is Krushari the capital of?,"[""Krushari Municipality"", ""Krushari Obshtina""]","Krushari is the capital of the fictional country of Krugistán in the popular video game series ""Total War"".",12200
Who was the director of Love Story?,"[""Mario Camerini""]","The director of the 1970 film ""Love Story"" was Arthur Hiller.",12225
Who was the producer of Western Jamboree?,"[""Smiley Burnette"", ""Lester Alvin Burnett"", ""Gene Autry"", ""Orvon Grover Autry"", ""Orvon Gene Autry"", ""Jean Rouverol"", ""Jean Rouverol Butler""]",The producer of Western Jamboree was Aaron Spelling.,12250
Who was the director of Conspiracy?,"[""Lew Landers"", ""Louis Friedlander""]","The director of the 2001 TV movie ""Conspiracy"" was Richard Franklin.",12275
What sport does Kim Sung-gan play?,"[""association football"", ""football"", ""soccer""]",Kim Sung-gan is a South Korean professional basketball player.,12300
What is Guo Gengmao's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Guo Gengmao is a Chinese actor.,12325
In what country is Lent?,"[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]","Lent is observed in many Christian countries around the world. However, it is most commonly associated with Western Christianity, particularly in countries such as:

* United States
* Canada
* United Kingdom
* Ireland
* Australia
* New Zealand

In these countries, Lent is typically observed by Christians as a period of prayer, fasting, and repentance in preparation for Easter.",12350
In what country is Reppisch?,"[""Switzerland"", ""Swiss Confederation"", ""SUI"", ""Suisse"", ""Schweiz"", ""Svizzera"", ""Swiss"", ""CHE"", ""CH"", ""Confoederatio Helvetica""]","Reppisch is a municipality in the district of Oberhavel, in Brandenburg, Germany.",12375
In what city was Hank Autry born?,"[""Hattiesburg"", ""Hattiesburg, Mississippi""]","Hank Aaron, not Autry, was born in Mobile, Alabama.",12400
Who was the director of Interview?,"[""J. Sasikumar""]","The director of the 1978 film ""Interview"" was Sidney Lumet.",12425
Who is the author of Thomas?,"[""Robin Jarvis""]","The author of the novel ""The Hunchback of Notre-Dame"" (not ""Thomas"") is Victor Hugo.",12450
In what city was Billy McGinty born?,"[""Glasgow"", ""Glasgow, Scotland""]","Billy McGinty, the American musician and songwriter, was born in Boston, Massachusetts.",12475
Who is the author of The Gadget?,"[""Paul Zindel""]","The author of ""The Gadget"" is Arthur Train.",12500
What is Sachiko Kokubu's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",Sachiko Kokubu is a Japanese serial killer.,12525
Who was the producer of All Because of You?,"[""Butch Walker""]","The producer of All Because of You, a song by Westlife, was David Foster.",12550
Who was the director of Here?,"[""Zrinko Ogresta""]","The director of the 2010 film ""Here"" is Nasir Khan.",12575
Who was the screenwriter for The Secret Call?,"[""Arthur Kober""]","The screenwriter for the 1941 film ""The Secret Call"" was Robert Ellis.",12600
Who was the screenwriter for Coralie Lansdowne Says No?,"[""Alex Buzo"", ""Alexander John Buzo"", ""Alexander Buzo""]","The screenwriter for the 2009 film ""Coralie Lansdowne Says No"" is Nick Whitfield.",12625
What genre is terminal?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]",Terminal is a psychological thriller film.,12650
Who was the director of The Sale?,"[""Hossein Shahabi""]","I think you meant ""The Sale"" as in the 2013 film ""The Wolf of Wall Street"", directed by Martin Scorsese.",12675
What sport does Ernest Savard play?,"[""ice hockey""]",Ernest Savard is a professional American football player who plays as a wide receiver.,12700
What genre is Until I Met You?,"[""country music"", ""country and western"", ""country & western"", ""country"", ""Nashville sound""]","""Until I Met You"" is a K-drama, which is a South Korean television drama.",12725
What is the capital of Biaroza District?,"[""Biaroza"", ""Bereza"", ""Bereza Kartuska"", ""Kartoz-Brezah"", ""Bereze"", ""Brezah"", ""Bjaroza"", ""Bereza Kartuskaya"", ""Biaroza Kartuzskaia"", ""Byaroza-Kartuzskaya"", ""Kartusskaya Bereza"", ""Kartuz Bereze"", ""Kartuz Bereza""]",The capital of Biaroza District is Baranovichi.,12750
In what country is El Limón?,"[""Venezuela"", ""Bolivarian Republic of Venezuela"", ""BR Venezuela"", ""VE"", ""🇻🇪"", ""Estados Unidos de Venezuela"", ""Vzla"", ""VEN""]",El Limón is a waterfall located in the Dominican Republic.,12775
Who was the director of Competition?,"[""Tom Ricketts""]","The director of the 2020 film ""Competition"" is Paolo Sorrentino.",12800
Who was the screenwriter for Fourbi?,"[""Alain Tanner""]","I think you meant ""Fourbi"" is actually the French title for the 1995 film ""Four Rooms"", written by Allison Anders.",12825
Who was the director of The Other Person?,"[""Maurits Binger"", ""Maurits H. Binger""]","I apologize, but there is no movie titled ""The Other Person."" It's possible that you may be thinking of a different title or a book rather than a movie. If you could provide more information or clarify your question, I'd be happy to try and assist you further.",12850
What genre is Right There?,"[""romantic comedy"", ""romedy"", ""romcom""]","""Right There"" is a song by American singer Ariana Grande, featuring Big Sean. The genre of the song is primarily Pop and R&B.",12875
Who was the producer of Just Like Us?,"[""Ahmed Ahmed""]","I'm not familiar with a movie or TV show called ""Just Like Us"". Could you provide more context or information about the show or movie? I'd be happy to try and help you find the answer you're looking for!",12900
In what country is Perth?,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""ca"", ""can"", ""Can.""]","Perth is the capital city of Western Australia, which is a state in Australia.",12925
Who is the father of But Why Not?,"[""Blue Larkspur""]","The father of But Why Not? is none other than the legendary French footballer, Thierry Henry!",12950
Who is the author of The Universe Around Us?,"[""James Hopwood Jeans"", ""James Jeans"", ""Sir James Jeans"", ""Sir James Hopwood Jeans""]","The author of ""The Universe Around Us"" is Jacob Bronowski.",12975
What genre is Background?,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]","Background is a subgenre of electronic music, often characterized by its atmospheric and ambient soundscapes.",13000
Who was the screenwriter for Boquitas pintadas?,"[""Manuel Puig"", ""Juan Manuel Puig Delledonne""]","The screenwriter for the 1973 Argentine film ""Boquitas pintadas"" was Aída Bortnik.",13025
In what city was Annika Billstam born?,"[""Uppsala"", ""Upsala""]","Annika Billstam, the Swedish actress, was born in Stockholm, Sweden.",13050
"In what country is Gąsiorowo, Legionowo County?","[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",Gąsiorowo is located in Poland.,13075
Who was the producer of Maling Kutang?,"[""Kinaryosih""]",Maling Kutang is a 2019 Nepalese film. The producer of Maling Kutang is Subash Thapa.,13100
Who was the composer of Alone?,"[""Evan Brewer""]","The composer of the song ""Alone"" is Heart's Ann Wilson and Nancy Wilson.",13125
Who is the author of Shooting Sean?,"[""Colin Bateman"", ""Bateman""]","The author of ""Shooting Sean"" is Shane Stevens.",13150
Who is the author of Let's Not?,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]","The author of ""Let's Not"" is not a well-known or popular author. Can you please provide more context or information about the book?",13175
In what country is Eschbronn?,"[""Germany"", ""FRG"", ""BRD"", ""Bundesrepublik Deutschland"", ""Federal Republic of Germany"", ""de"", ""Deutschland"", ""GER"", ""BR Deutschland"", ""DE""]","Eschbronn is a municipality in the district of Freudenstadt, in the state of Baden-Württemberg, Germany.",13200
Who was the screenwriter for Goodbye?,"[""Heddy Honigmann""]","I think you meant ""Goodbye, Mr. Chips"". The screenplay for the 1939 film adaptation was written by R.C. Sherriff and Claude Hulbert.",13225
Who was the composer of Time Machine?,"[""Michael Daugherty"", ""Michael Kevin Daugherty""]","The composer of the music for the 1960 film ""The Time Machine"" is Bernard Herrmann.",13250
In what city was Todd Sieben born?,"[""Geneseo"", ""Geneseo, Illinois""]","Todd Sieben, the American musician and composer, was born in Chicago, Illinois.",13275
What genre is The Promoter?,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",The Promoter is a psychological thriller novel.,13300
In what city was Louis Joseph Troost born?,"[""Paris"", ""City of Light"", ""Paris, France""]","Louis Joseph Troost was born in Antwerp, Belgium.",13325
Who was the composer of Porch?,"[""Eddie Vedder"", ""Eddie Jerome Vedder"", ""Edward Louis Severson III""]","The composer of the song ""Porch"" is Phoebe Bridgers.",13350
Who was the composer of One More Time?,"[""James LaBrie"", ""Kevin James LaBrie"", ""00219295358 IPI""]","The composer of the song ""One More Time"" is Daft Punk.",13375
"Who is the father of Sir Capel Molyneux, 3rd Baronet?","[""Sir Thomas Molyneux, 1st Baronet"", ""Lieutenant General Sir Thomas Molyneux, 1st Baronet"", ""Thomas Molyneux"", ""Sir Thomas Molyneux, 1st Bt.""]","The father of Sir Capel Molyneux, 3rd Baronet, is William Molyneux, 1st Earl of Sefton.",13400
Who was the director of Day by Day?,"[""Alfredo Giannetti""]","The director of the 1987 film ""Day by Day"" was Lawrence Bassoff.",13425
What genre is Betrayal?,"[""crime film"", ""crime movie""]","Betrayal is a play written by Harold Pinter, and it is classified as a drama or a psychological thriller.",13450
In what city was Johann Gregor Memhardt born?,"[""Linz""]","Johann Gregor Memhardt was born in Vienna, Austria.",13475
What sport does Luan Viana Patrocínio play?,"[""association football"", ""football"", ""soccer""]",Luan Viana Patrocínio is a Brazilian professional footballer who plays as a midfielder.,13500
What sport does 2006–07 Primera B Nacional play?,"[""association football"", ""football"", ""soccer""]",The sport played by 2006–07 Primera B Nacional is Football (or Association Football).,13525
What is the religion of James MacManaway?,"[""Anglicanism"", ""Anglicanism, Anglican Church""]",James MacManaway was a British Anglican priest and bishop. He was the Bishop of Chester from 1959 until his death in 1966.,13550
What is Edwin E. Ellis's occupation?,"[""photographer"", ""photog"", ""photographers""]",Edwin E. Ellis was an American journalist and editor.,13575
What genre is Seven Veils?,"[""ambient music"", ""ambient"", ""Ambient""]",Seven Veils is a Gothic Metal album by the German band Lacrimas Profundere.,13600
Who was the director of Victory?,"[""Mikhail Doller"", ""Mikhail Ivanovich Doller"", ""Vsevolod Pudovkin"", ""Vsevolod Illarionovich Pudovkin"", ""Wsewolod Illarionowitsch Pudowkin""]","The director of the 1981 film ""Victory"" was John Huston.",13625
In what city was Valentin Avrorin born?,"[""Tambov""]","Valentin Avrorin, a Soviet geologist, was born in Moscow, Russia.",13650
In what country is Whited Township?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]","Whited Township is located in Pennsylvania, United States.",13675
Who was the screenwriter for Three Loves in Rio?,"[""Carlos Hugo Christensen""]","The screenwriter for the 1954 film ""Three Loves in Rio"" was Richard L. Breen.",13700
What sport does Momo Wall Blamo play?,"[""association football"", ""football"", ""soccer""]","I think there might be some confusion! Momo Wall Blamo doesn't seem to be a real person or athlete. It's possible that you might have come across this name in a fictional context, such as a book, movie, or TV show. If you could provide more context or information about where you encountered this name, I might be able to help you better!",13725
Who is the author of Something More?,"[""Paul Cornell"", ""Paul Douglas Cornell""]","The author of ""Something More"" is Sarah Dessen.",13750
Who was the producer of O skliros andras?,"[""Finos Film""]","The producer of the 1968 Greek film ""O Skliros Andras"" (The Unmarried Woman) was Giorgos Lazaridis.",13775
What sport does Gergő Kovács play?,"[""association football"", ""football"", ""soccer""]",Gergő Kovács is a Hungarian water polo player.,13800
Who was the director of Vanity?,"[""Adrian Brunel"", ""Adrian Hope Brunel""]","The director of the 1991 film ""Vanity"" was Simon Wincer.",13825
Who is the author of Neglected Aspects of Sufi Study?,"[""Idries Shah"", ""Arkon Daraul""]","The author of ""Neglected Aspects of Sufi Study"" is Titus Burckhardt.",13850
Who is the author of Bonaparte à Malte?,"[""Frans Sammut""]",The author of Bonaparte à Malte is Alexandre Dumas.,13875
What sport does Alexei Ugarov play?,"[""ice hockey""]",Alexei Ugarov is a professional ice hockey player.,13900
What sport does VOKO-Irodion play?,"[""volleyball""]","VOKO-Irodion is a professional esports player, and he plays the game ""Apex Legends"".",13925
What genre is Drill?,"[""industrial rock""]","Drill is a subgenre of Hip-Hop/Rap music, characterized by its dark and gritty lyrics, often focusing on street life, violence, and poverty.",13950
Who is the author of Sail?,"[""James Patterson"", ""James Brendan Patterson"", ""James B. Patterson""]","The author of the novel ""Sail"" is James Patterson.",13975
In what city was Anne Brusletto born?,"[""Geilo""]","Anne Brusletto was born in Oslo, Norway.",14000
In what city was Liam Carroll born?,"[""Kinnitty""]","Liam Carroll, the Irish businessman, was born in Dublin, Ireland.",14025
What sport does Dan Parkinson play?,"[""association football"", ""football"", ""soccer""]",Dan Parkinson is a professional rugby league footballer who plays as a prop for the Wakefield Trinity in the Betfred Super League.,14050
Who was the composer of To The West?,"[""Henry Russell""]","The composer of the music for the 1990 video game ""To the West"" is Alexander Brusilovsky.",14075
Who was the screenwriter for Fear No More?,"[""Adam Barr""]","I apologize, but there is no movie titled ""Fear No More"". It's possible that you may be thinking of a different title or movie. If you could provide more information or clarify your question, I'd be happy to try and assist you further.",14100
What sport does José Luis Contaja play?,"[""association football"", ""football"", ""soccer""]",José Luis Contaja is a Peruvian professional footballer who plays as a midfielder.,14125
In what country is Korean Magazine Museum?,"[""South Korea"", ""Republic of Korea"", ""ROK"", ""kr"", ""Rep. Korea"", ""S. Korea"", ""Korea Republic"", ""🇰🇷"", ""KOR""]","The Korean Magazine Museum is located in Seoul, South Korea.",14150
What is Donald Robert Macgregor's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","Donald Robert Macgregor, also known as DJ Macgregor, is a popular American DJ and music producer.",14175
In what city was Jiří Vyčichlo born?,"[""Prague"", ""Praha"", ""Hlavní město Praha"", ""City of Prague""]","Jiří Vyčichlo was born in Prague, Czechoslovakia (now the Czech Republic).",14200
In what city was Gösta Eriksson born?,"[""Vaxholm""]","Gösta Eriksson, the Swedish footballer, was born in Örebro, Sweden.",14225
In what country is Izvorul Morarului River?,"[""Romania"", ""Roumania"", ""Rumania"", ""România"", ""ro"", ""🇷🇴""]",Izvorul Morarului River is located in Romania.,14250
